case,city_state,site,date,week_day,month,year,injured,fatalities,total_victims,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,race,gender,longitude,latitude
Molson Coors shooting,"Milwaukee, Wisconsin",Workplace,2020-02-26,Wednesday,2,2020,0,5,5,51,Unknown,Unknown,Black,Male,-87.962537,43.044511
Jersey City kosher market shooting,"Jersey City, New Jersey",Other,2019-12-10,Tuesday,12,2019,3,4,7,-,Unknown,Unknown,Black,Other/Unknown,-74.083609,40.707363
Pensacola Naval base shooting,"Pensacola, Florida",Military,2019-12-06,Friday,12,2019,8,3,11,-,Unknown,Unknown,Other/Unknown,Male,-87.288567,30.364707
Odessa-Midland shooting spree,"Odessa, Texas",Other,2019-08-31,Saturday,8,2019,25,7,32,36,Yes,Unknown,White,Male,-102.2796,31.925974
Dayton entertainment district shooting,"Dayton, Ohio",Other,2019-08-04,Sunday,8,2019,27,9,36,24,Unknown,Yes,White,Male,-84.184947,39.757312
El Paso Walmart mass shooting,"El Paso, Texas",Workplace,2019-08-03,Saturday,8,2019,26,22,48,21,Unknown,Yes,White,Male,-106.375655,31.771068
Gilroy garlic festival shooting,"Gilroy, California",Other,2019-07-28,Sunday,7,2019,12,3,15,19,Unknown,Yes,Other/Unknown,Male,-121.584819,36.997191
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",Workplace,2019-05-31,Friday,5,2019,4,12,16,40,Unknown,Yes,Black,Male,-76.060378,36.75442
Harry Pratt Co. warehouse shooting,"Aurora, Illinois",Workplace,2019-02-15,Friday,2,2019,6,5,11,45,Yes,No,Black,Male,-88.331057,41.753725
Pennsylvania hotel bar shooting,"State College, Pennsylvania",Other,2019-01-24,Thursday,1,2019,1,3,4,21,Unknown,Yes,White,Male,-77.839411,40.785142
SunTrust bank shooting,"Sebring, Florida",Workplace,2019-01-23,Wednesday,1,2019,0,5,5,21,Yes,Yes,White,Male,-81.45847,27.471043
Mercy Hospital shooting,"Chicago, Illinois",Workplace,2018-11-19,Monday,11,2018,0,3,3,32,Unknown,Unknown,Latino,Male,-87.622009,41.847667
Thousand Oaks nightclub shooting,"Thousand Oaks, California",Other,2018-11-07,Wednesday,11,2018,22,12,34,28,Yes,Yes,Other/Unknown,Male,-118.874793,34.176946
Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",Religious,2018-10-27,Saturday,10,2018,6,11,17,46,Unknown,Yes,White,Male,-79.921398,40.443898
Rite Aid warehouse shooting,"Perryman, Maryland",Workplace,2018-09-20,Thursday,9,2018,3,3,6,26,Unknown,Yes,Black,Female,-76.208485,39.455658
T&T Trucking shooting,"Bakersfield, California",Workplace,2018-09-12,Wednesday,9,2018,0,5,5,54,Unknown,Yes,Latino,Male,-118.916335,35.349388
Fifth Third Center shooting,"Cincinnati, Ohio",Workplace,2018-09-06,Thursday,9,2018,2,3,5,29,Yes,Yes,Latino,Male,-84.511782,39.101981
Capital Gazette shooting,"Annapolis, Maryland",Workplace,2018-06-28,Thursday,6,2018,2,5,7,38,Unknown,Yes,White,Male,-76.543657,38.994548
Santa Fe High School shooting,"Santa Fe, Texas",School,2018-05-18,Friday,5,2018,13,10,23,17,Unknown,Unknown,White,Male,-95.141972,29.392825
Waffle House shooting,"Nashville, Tennessee",Other,2018-04-22,Sunday,4,2018,4,4,8,29,Yes,Yes,White,Male,-86.616944,36.052521
Yountville veterans home shooting,"Yountville, California",Workplace,2018-03-09,Friday,3,2018,0,3,3,36,Yes,Yes,Asian,Male,-122.366528,38.392496
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",School,2018-02-14,Wednesday,2,2018,17,17,34,19,Yes,Yes,White,Male,-80.269511,26.30483
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",Other,2018-01-28,Sunday,1,2018,1,4,5,28,Unknown,Unknown,White,Male,-79.389166,40.052151
Rancho Tehama shooting spree,"Rancho Tehama, California",Other,2017-11-14,Tuesday,11,2017,10,5,15,44,Unknown,No,White,Male,-122.393089,40.018759
Texas First Baptist Church massacre,"Sutherland Springs, Texas",Religious,2017-11-05,Sunday,11,2017,20,26,46,26,Yes,Yes,White,Male,-98.056488,29.273282
Walmart shooting in suburban Denver,"Thornton, Colorado",Other,2017-11-01,Wednesday,11,2017,0,3,3,47,Unknown,Unknown,White,Male,-104.986132,39.876374
Edgewood businees park shooting,"Edgewood, Maryland",Workplace,2017-10-18,Wednesday,10,2017,3,3,6,37,Unknown,No,Black,Male,-76.309988,39.452189
Las Vegas Strip massacre,"Las Vegas, Nevada",Other,2017-10-01,Sunday,10,2017,546,58,604,64,Unknown,Yes,White,Male,-115.171544,36.095739
San Francisco UPS shooting,"San Francisco, California",Workplace,2017-06-14,Wednesday,6,2017,2,3,5,38,Yes,No,Asian,Male,-122.406087,37.765947
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",Workplace,2017-06-07,Wednesday,6,2017,0,3,3,24,Unknown,Unknown,White,Male,-75.94722,41.529546
Florida awning manufacturer shooting,"Orlando, Florida",Workplace,2017-06-05,Monday,6,2017,0,5,5,45,Unknown,Unknown,Other/Unknown,Male,-81.294086,28.580295
Rural Ohio nursing home shooting,"Kirkersville, Ohio",Workplace,2017-05-12,Friday,5,2017,0,3,3,43,Yes,Unknown,White,Male,-82.596508,39.959034
Fresno downtown shooting,"Fresno, California",Other,2017-04-18,Tuesday,4,2017,0,3,3,39,Unknown,Unknown,Black,Male,-119.800319,36.746378
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",Airport,2017-01-06,Friday,1,2017,6,5,11,26,Yes,Yes,Latino,Male,-80.143382,26.072751
Cascade Mall shooting,"Burlington, Washington",Other,2016-09-23,Friday,9,2016,0,5,5,20,Yes,Unknown,Other/Unknown,Male,-122.337918,48.461367
Baton Rouge police shooting,"Baton Rouge, Lousiana",Other,2016-07-17,Sunday,7,2016,3,3,6,29,Yes,Unknown,Black,Male,-91.081403,30.433601
Dallas police shooting,"Dallas, Texas",Other,2016-07-07,Thursday,7,2016,11,5,16,25,Unknown,Yes,Black,Male,-96.8000082,32.7801052
Orlando nightclub massacre,"Orlando, Florida",Other,2016-06-12,Sunday,6,2016,53,49,102,29,Unknown,Yes,Other/Unknown,Male,-81.376777,28.519718
Excel Industries mass shooting,"Hesston, Kansas",Workplace,2016-02-25,Thursday,2,2016,14,3,17,38,Unknown,Yes,Black,Male,-97.425145,38.135992
Kalamazoo shooting spree,"Kalamazoo County, Michigan",Other,2016-02-20,Saturday,2,2016,2,6,8,45,Unknown,Yes,White,Male,-85.674795,42.236689
San Bernardino mass shooting,"San Bernardino, California","
Workplace",2015-12-02,Wednesday,12,2015,21,14,35,28,Unknown,"
Yes",Other/Unknown,Other/Unknown,-117.27789,34.075961
Planned Parenthood clinic,"Colorado Springs, Colorado",Workplace,2015-11-27,Friday,11,2015,9,3,12,57,Unknown,Unknown,White,Male,-104.849057,38.881031
Colorado Springs shooting rampage,"Colorado Springs, Colorado",Other,2015-10-31,Saturday,10,2015,0,3,3,33,Unknown,Yes,White,Male,-104.814251,38.83755
Umpqua Community College shooting,"Roseburg, Oregon",School,2015-10-01,Thursday,10,2015,9,9,18,26,Unknown,Yes,Other/Unknown,Male,-123.333193,43.289538
Chattanooga military recruitment center,"Chattanooga, Tennessee",Military,2015-07-16,Thursday,7,2015,2,5,7,24,Unknown,Unknown,Other/Unknown,Male,-85.311819,35.047157
Charleston Church Shooting,"Charleston, South Carolina",Religious,2015-06-17,Wednesday,6,2015,1,9,10,21,Unknown,Yes,White,Male,-79.933143,32.788387
Trestle Trail bridge shooting,"Menasha, Wisconsin",Other,2015-06-11,Thursday,6,2015,1,3,4,27,Yes,Yes,Latino,Male,-88.467541,44.204124
Marysville-Pilchuck High School shooting,"Marysville, Washington",School,2014-10-24,Friday,10,2014,1,5,6,15,Unknown,No,Native American,Male,-122.176918,48.050824
Isla Vista mass murder,"Santa Barbara, California",School,2014-05-23,Friday,5,2014,13,6,19,22,Yes,Yes,White,Male,-119.871440559809,34.436283
Fort Hood shooting 2,"Fort Hood, Texas",Military,2014-04-03,Thursday,4,2014,12,3,15,34,Unknown,"
Yes",Latino,Male,-97.777559,31.141716
Alturas tribal shooting,"Alturas, California",Other,2014-02-20,Thursday,2,2014,2,4,6,44,Unknown,Unknown,Native American,Female,-120.542237,41.487104
Washington Navy Yard shooting,"Washington, D.C.",Military,2013-09-16,Monday,9,2013,8,12,20,34,Yes,Yes,Black,Male,-76.99453,38.874981
Hialeah apartment shooting,"Hialeah, Florida","Other
",2013-07-26,Friday,7,2013,0,7,7,42,Unknown,Yes,Latino,Male,-80.311775,25.864338
Santa Monica rampage,"Santa Monica, California","Other
",2013-06-07,Friday,6,2013,3,6,9,23,Yes,Yes,White,Male,-118.494754033795,34.008617
